Task,SGD Accuracy,EWC Accuracy
Task 1,0.9486,0.9618
Task 2,0.9311,0.9566
Task 3,0.9021666666666668,0.9519
Task 4,0.8532,0.947675
Task 5,0.7792999999999999,0.94314
Task 6,0.7408,0.9388833333333334
Task 7,0.7304428571428572,0.9356714285714284
Task 8,0.6904375,0.930775
Task 9,0.6081333333333334,0.9252888888888888
Task 10,0.60319,0.92248
