Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
5,3,2,0.9094,0.9005,
6,3,2,0.9099,0.9014,
7,3,2,0.91,0.9024,
8,3,2,0.9105,0.9024,
9,3,2,0.9111,0.903,
10,3,2,0.9104,0.9027,
11,3,2,0.9104,0.903,
12,3,2,0.9105,0.9023,
13,3,2,0.9109,0.9031,
14,3,2,0.911,0.9028,
15,3,2,0.9099,0.9028,
16,3,2,0.9111,0.9035,
17,3,2,0.911,0.9032,
18,3,2,0.9122,0.904,
19,3,2,0.9116,0.9035,
20,3,2,0.9119,0.9038,
1,3,3,0.8874,0.862,
2,3,3,0.893,0.8694,
3,3,3,0.8967,0.8745,
4,3,3,0.8996,0.8787,
5,3,3,0.9012,0.8807,
6,3,3,0.9039,0.8829,
7,3,3,0.9049,0.8848,
8,3,3,0.9061,0.8865,
9,3,3,0.9077,0.8874,
10,3,3,0.9092,0.8887,
11,3,3,0.9092,0.8898,
12,3,3,0.911,0.8906,
13,3,3,0.9116,0.8911,
14,3,3,0.9125,0.8932,
15,3,3,0.9134,0.8927,
16,3,3,0.9142,0.8938,
17,3,3,0.9152,0.8938,
18,3,3,0.9162,0.8943,
19,3,3,0.9163,0.8952,
20,3,3,0.9176,0.8955,
1,4,0,0.7031,0.7734,
2,4,0,0.6897,0.759,
3,4,0,0.6781,0.7502,
4,4,0,0.668,0.7425,
5,4,0,0.661,0.7389,
6,4,0,0.6563,0.7351,
7,4,0,0.6515,0.7305,
8,4,0,0.6452,0.7279,
9,4,0,0.6423,0.7277,
10,4,0,0.6392,0.7234,
11,4,0,0.6321,0.7251,
12,4,0,0.6312,0.7212,
13,4,0,0.6284,0.7211,
14,4,0,0.6246,0.7186,
15,4,0,0.6228,0.7168,
16,4,0,0.6192,0.7169,
17,4,0,0.6169,0.7162,
18,4,0,0.6124,0.7155,
19,4,0,0.6104,0.7147,
20,4,0,0.6052,0.7152,
1,4,1,0.8345,0.8583,
2,4,1,0.8249,0.8501,
3,4,1,0.8173,0.8457,
4,4,1,0.8096,0.8427,
5,4,1,0.8054,0.8398,
6,4,1,0.7991,0.8377,
7,4,1,0.7957,0.8355,
8,4,1,0.7906,0.8338,
9,4,1,0.7888,0.8333,
10,4,1,0.7862,0.8317,
11,4,1,0.7811,0.8311,
12,4,1,0.7794,0.8302,
13,4,1,0.7775,0.8288,
14,4,1,0.7751,0.8275,
15,4,1,0.7736,0.8254,
16,4,1,0.7698,0.8258,
17,4,1,0.7675,0.8253,
18,4,1,0.7651,0.8249,
19,4,1,0.7625,0.8241,
20,4,1,0.7591,0.8249,
1,4,2,0.899,0.8961,
2,4,2,0.8943,0.8925,
3,4,2,0.8903,0.8887,
4,4,2,0.8854,0.8886,
5,4,2,0.884,0.8883,
6,4,2,0.8825,0.8874,
7,4,2,0.8814,0.8862,
8,4,2,0.8792,0.886,
9,4,2,0.8785,0.8854,
10,4,2,0.8783,0.8846,
11,4,2,0.8767,0.8848,
12,4,2,0.8754,0.8831,
13,4,2,0.8751,0.883,
14,4,2,0.8753,0.8823,
15,4,2,0.8749,0.8814,
16,4,2,0.872,0.8818,
17,4,2,0.8717,0.8817,
18,4,2,0.8712,0.8808,
19,4,2,0.8709,0.882,
20,4,2,0.8689,0.8826,
1,4,3,0.918,0.8965,
2,4,3,0.9177,0.8964,
3,4,3,0.9176,0.899,
4,4,3,0.9164,0.8985,
5,4,3,0.9165,0.8993,
6,4,3,0.9165,0.8998,
7,4,3,0.917,0.8995,
8,4,3,0.9176,0.8989,
9,4,3,0.9181,0.8996,
10,4,3,0.9179,0.9005,
11,4,3,0.9185,0.9007,
12,4,3,0.918,0.9006,
13,4,3,0.9178,0.9009,
14,4,3,0.9188,0.901,
15,4,3,0.9193,0.9007,
16,4,3,0.9187,0.9018,
17,4,3,0.9191,0.902,
18,4,3,0.9197,0.9017,
19,4,3,0.9197,0.9025,
20,4,3,0.9196,0.9027,
1,4,4,0.892,0.8559,
2,4,4,0.8957,0.8648,
3,4,4,0.9007,0.8707,
4,4,4,0.9034,0.8744,
5,4,4,0.9046,0.8765,
6,4,4,0.9067,0.8797,
7,4,4,0.9083,0.8818,
8,4,4,0.9105,0.8825,
9,4,4,0.9111,0.8838,
10,4,4,0.913,0.8837,
11,4,4,0.9144,0.8854,
12,4,4,0.9156,0.887,
13,4,4,0.9165,0.8874,
14,4,4,0.9175,0.8892,
15,4,4,0.9181,0.8893,
16,4,4,0.9192,0.8903,
17,4,4,0.9202,0.8913,
18,4,4,0.9219,0.8913,
19,4,4,0.9222,0.8913,
20,4,4,0.9226,0.8924,
