Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
1,0,0,0.9414,0.9391,0.9442
2,0,0,0.9494,0.9521,0.9566
3,0,0,0.9586,0.9609,0.9581
4,0,0,0.9613,0.9645,0.9639
5,0,0,0.963,0.966,0.9628
6,0,0,0.9656,0.9688,0.9687
7,0,0,0.9661,0.9692,0.9684
8,0,0,0.9657,0.9696,0.969
9,0,0,0.9675,0.9708,0.9707
10,0,0,0.9668,0.9703,0.9717
11,0,0,0.9695,0.9718,0.9725
12,0,0,0.9684,0.9725,0.9727
13,0,0,0.9695,0.9728,0.9728
14,0,0,0.969,0.9719,0.973
15,0,0,0.9696,0.9729,0.9734
16,0,0,0.9698,0.9725,0.9739
17,0,0,0.9699,0.9732,0.9741
18,0,0,0.9701,0.9733,0.9742
19,0,0,0.9709,0.9735,0.9743
20,0,0,0.9704,0.9735,0.974
1,1,0,0.9443,0.9582,0.9492
2,1,0,0.9429,0.9608,0.9431
3,1,0,0.9375,0.9619,0.9436
4,1,0,0.9357,0.9622,0.942
5,1,0,0.937,0.9645,0.9353
6,1,0,0.9337,0.9654,0.9319
7,1,0,0.9304,0.9629,0.9256
8,1,0,0.9279,0.9641,0.9278
9,1,0,0.9312,0.9635,0.9238
10,1,0,0.9283,0.9649,0.9214
11,1,0,0.9267,0.9665,0.9218
12,1,0,0.9248,0.9662,0.9207
13,1,0,0.9238,0.9658,0.918
14,1,0,0.9224,0.9675,0.9202
15,1,0,0.9215,0.9677,0.9142
16,1,0,0.9193,0.9689,0.914
17,1,0,0.9203,0.9683,0.9142
18,1,0,0.918,0.9688,0.912
19,1,0,0.9178,0.969,0.9099
20,1,0,0.9176,0.9688,0.9109
1,1,1,0.9426,0.9418,0.9459
2,1,1,0.9554,0.9479,0.9552
3,1,1,0.9605,0.9589,0.9589
4,1,1,0.9636,0.961,0.9654
5,1,1,0.9646,0.9636,0.9681
6,1,1,0.9678,0.9644,0.9673
7,1,1,0.9669,0.964,0.9693
8,1,1,0.9681,0.9648,0.9711
9,1,1,0.9695,0.9652,0.9694
10,1,1,0.9705,0.9667,0.9703
11,1,1,0.9708,0.9678,0.9714
12,1,1,0.9711,0.9682,0.9715
13,1,1,0.9718,0.9689,0.9718
14,1,1,0.9717,0.9696,0.9715
15,1,1,0.9713,0.9686,0.9726
16,1,1,0.972,0.97,0.973
17,1,1,0.9724,0.9691,0.9736
18,1,1,0.9716,0.9699,0.9731
19,1,1,0.9722,0.9702,0.9731
20,1,1,0.9723,0.9695,0.973
1,2,0,0.8499,0.9504,0.8602
2,2,0,0.8412,0.9509,0.8327
3,2,0,0.8381,0.9526,0.8394
4,2,0,0.8189,0.9543,0.8271
5,2,0,0.8193,0.9543,0.8214
6,2,0,0.8184,0.9561,0.8145
7,2,0,0.8097,0.9564,0.8074
8,2,0,0.7977,0.9545,0.8033
9,2,0,0.8075,0.9568,0.8026
10,2,0,0.8001,0.9564,0.7886
11,2,0,0.7939,0.9557,0.7876
12,2,0,0.79,0.9569,0.7863
13,2,0,0.7889,0.9577,0.7805
14,2,0,0.7896,0.959,0.7929
15,2,0,0.7877,0.956,0.7782
16,2,0,0.7814,0.9568,0.7806
17,2,0,0.7811,0.9566,0.7827
18,2,0,0.7842,0.9561,0.7798
19,2,0,0.778,0.958,0.772
20,2,0,0.7801,0.961,0.7734
1,2,1,0.9408,0.9565,0.9505
2,2,1,0.938,0.9586,0.9443
3,2,1,0.9359,0.9607,0.9444
4,2,1,0.9359,0.9635,0.9372
5,2,1,0.932,0.9644,0.9372
6,2,1,0.9337,0.9638,0.9336
7,2,1,0.9348,0.9627,0.9301
8,2,1,0.9334,0.9644,0.9268
9,2,1,0.9285,0.9641,0.9267
10,2,1,0.9303,0.9662,0.9261
11,2,1,0.9302,0.9658,0.9227
12,2,1,0.9285,0.9652,0.9224
13,2,1,0.9292,0.9669,0.922
14,2,1,0.9293,0.9682,0.921
15,2,1,0.928,0.9657,0.9165
16,2,1,0.9274,0.9666,0.9189
17,2,1,0.9289,0.9668,0.9175
18,2,1,0.9265,0.9664,0.9177
19,2,1,0.9283,0.9667,0.9174
20,2,1,0.9252,0.9664,0.9179
1,2,2,0.9407,0.9334,0.9454
2,2,2,0.9545,0.9473,0.9571
3,2,2,0.9621,0.9529,0.9621
4,2,2,0.9651,0.9532,0.9655
5,2,2,0.9662,0.9557,0.968
6,2,2,0.968,0.9573,0.969
7,2,2,0.9689,0.9562,0.9712
8,2,2,0.9701,0.9577,0.9711
9,2,2,0.9686,0.9607,0.9708
10,2,2,0.971,0.9604,0.9721
11,2,2,0.969,0.963,0.9724
12,2,2,0.9722,0.962,0.9733
13,2,2,0.9715,0.9592,0.974
14,2,2,0.9729,0.9629,0.9733
15,2,2,0.9725,0.9633,0.9735
16,2,2,0.9734,0.9616,0.9733
17,2,2,0.9737,0.9624,0.9743
18,2,2,0.9733,0.9646,0.9748
19,2,2,0.974,0.9636,0.9747
20,2,2,0.9735,0.9603,0.9746
