Task,SGD Accuracy,EWC Accuracy
Task 1,0.8943,0.9248
Task 2,0.90565,0.9294
Task 3,0.9011333333333336,0.9231666666666666
Task 4,0.8873500000000001,0.911975
Task 5,0.8692,0.8951800000000001
Task 6,0.8444833333333333,0.8718666666666666
Task 7,0.8118571428571428,0.8429
Task 8,0.7761875,0.8134125000000001
Task 9,0.7419777777777777,0.7854111111111112
Task 10,0.70549,0.75519
