Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
13,3,1,0.9125,0.9188,0.9153
14,3,1,0.9119,0.9186,0.9133
15,3,1,0.9105,0.9179,0.9138
16,3,1,0.9105,0.9183,0.9113
17,3,1,0.9112,0.9175,0.9133
18,3,1,0.9066,0.9175,0.9118
19,3,1,0.9076,0.9184,0.9107
20,3,1,0.9074,0.9173,0.9105
1,3,2,0.9538,0.9305,0.9539
2,3,2,0.9534,0.9318,0.9539
3,3,2,0.9536,0.9326,0.9535
4,3,2,0.9545,0.9331,0.9535
5,3,2,0.953,0.9329,0.954
6,3,2,0.954,0.9337,0.9538
7,3,2,0.9541,0.9332,0.9533
8,3,2,0.9549,0.9338,0.9545
9,3,2,0.9545,0.9344,0.9541
10,3,2,0.9553,0.9333,0.9542
11,3,2,0.9552,0.9336,0.9547
12,3,2,0.9547,0.9356,0.956
13,3,2,0.9545,0.9348,0.9547
14,3,2,0.9548,0.9343,0.9556
15,3,2,0.9556,0.9343,0.9556
16,3,2,0.9551,0.9353,0.9552
17,3,2,0.9563,0.9349,0.9569
18,3,2,0.9561,0.9354,0.9565
19,3,2,0.9562,0.9352,0.9561
20,3,2,0.9574,0.935,0.9565
1,3,3,0.9407,0.9022,0.941
2,3,3,0.9445,0.9095,0.9438
3,3,3,0.9462,0.9123,0.9464
4,3,3,0.9487,0.9146,0.9484
5,3,3,0.9501,0.9162,0.9494
6,3,3,0.9518,0.917,0.9512
7,3,3,0.9523,0.9179,0.9521
8,3,3,0.954,0.9196,0.9529
9,3,3,0.9549,0.9208,0.9539
10,3,3,0.9563,0.92,0.9552
11,3,3,0.9573,0.9216,0.9559
12,3,3,0.9575,0.9225,0.9566
13,3,3,0.958,0.9233,0.9574
14,3,3,0.9588,0.9222,0.9578
15,3,3,0.9605,0.9235,0.9583
16,3,3,0.9602,0.923,0.9587
17,3,3,0.9608,0.9236,0.9596
18,3,3,0.9619,0.9231,0.9598
19,3,3,0.9622,0.9238,0.9604
20,3,3,0.9625,0.9256,0.9608
1,4,0,0.7518,0.8212,0.7581
2,4,0,0.7402,0.8109,0.7425
3,4,0,0.7338,0.8086,0.7337
4,4,0,0.7164,0.8052,0.7223
5,4,0,0.7122,0.807,0.7199
6,4,0,0.7049,0.8074,0.7091
7,4,0,0.6958,0.8043,0.7027
8,4,0,0.6899,0.8001,0.7025
9,4,0,0.6831,0.7998,0.6928
10,4,0,0.6819,0.8012,0.6911
11,4,0,0.6798,0.7989,0.6859
12,4,0,0.6744,0.7978,0.6793
13,4,0,0.6729,0.8,0.6786
14,4,0,0.6669,0.7982,0.6765
15,4,0,0.6668,0.7976,0.6727
16,4,0,0.6611,0.7956,0.6749
17,4,0,0.6594,0.7951,0.6647
18,4,0,0.6547,0.7958,0.6624
19,4,0,0.6549,0.7959,0.6581
20,4,0,0.6517,0.797,0.6552
1,4,1,0.8788,0.8931,0.8855
2,4,1,0.869,0.8858,0.8767
3,4,1,0.8659,0.8849,0.8704
4,4,1,0.8563,0.8798,0.8663
5,4,1,0.8554,0.8824,0.8647
6,4,1,0.8524,0.884,0.8592
7,4,1,0.847,0.8813,0.854
8,4,1,0.8435,0.8776,0.8526
9,4,1,0.8392,0.8777,0.8469
10,4,1,0.8396,0.8796,0.8468
11,4,1,0.8369,0.8774,0.8434
12,4,1,0.8346,0.8763,0.8389
13,4,1,0.8329,0.8777,0.8404
14,4,1,0.8295,0.8759,0.8377
15,4,1,0.829,0.8759,0.8344
16,4,1,0.825,0.875,0.8369
17,4,1,0.8242,0.8751,0.8295
18,4,1,0.8223,0.8754,0.828
19,4,1,0.8225,0.8756,0.8245
20,4,1,0.8206,0.8764,0.8238
1,4,2,0.9446,0.9239,0.9457
2,4,2,0.9404,0.9207,0.9414
3,4,2,0.9392,0.921,0.9389
4,4,2,0.9343,0.9188,0.9368
5,4,2,0.9347,0.9203,0.9357
6,4,2,0.9325,0.9204,0.9332
7,4,2,0.9307,0.9198,0.9305
8,4,2,0.9281,0.9182,0.9315
9,4,2,0.9267,0.9185,0.9293
10,4,2,0.9267,0.9204,0.9303
11,4,2,0.925,0.9194,0.9279
12,4,2,0.924,0.9194,0.9262
13,4,2,0.9241,0.9199,0.9268
14,4,2,0.9219,0.9196,0.9269
15,4,2,0.9224,0.9192,0.9256
16,4,2,0.9216,0.9192,0.9264
17,4,2,0.9223,0.9188,0.9228
18,4,2,0.9195,0.9188,0.9226
19,4,2,0.9208,0.9182,0.921
20,4,2,0.9212,0.9195,0.9196
1,4,3,0.9611,0.9269,0.9598
2,4,3,0.9602,0.9286,0.9586
3,4,3,0.9601,0.9296,0.9587
4,4,3,0.9597,0.9293,0.9585
5,4,3,0.96,0.9315,0.9592
6,4,3,0.9595,0.9311,0.9593
7,4,3,0.9598,0.9314,0.958
8,4,3,0.9601,0.932,0.9585
9,4,3,0.96,0.931,0.9585
10,4,3,0.96,0.9315,0.9596
11,4,3,0.9599,0.9308,0.9605
12,4,3,0.9602,0.931,0.9598
13,4,3,0.9619,0.9318,0.9605
14,4,3,0.9614,0.9323,0.9603
15,4,3,0.9614,0.9322,0.9597
16,4,3,0.9612,0.9323,0.9609
17,4,3,0.9612,0.9325,0.9607
18,4,3,0.9616,0.9318,0.9603
19,4,3,0.9615,0.9323,0.9596
20,4,3,0.9617,0.9317,0.9606
1,4,4,0.9469,0.8992,0.9454
2,4,4,0.9495,0.9045,0.9485
3,4,4,0.9513,0.9061,0.9503
4,4,4,0.9525,0.9084,0.9534
5,4,4,0.9551,0.9103,0.9536
6,4,4,0.9565,0.9102,0.9548
7,4,4,0.9571,0.9114,0.9564
8,4,4,0.9584,0.9134,0.9569
9,4,4,0.9592,0.9141,0.9584
10,4,4,0.9605,0.9141,0.959
11,4,4,0.9613,0.9148,0.96
12,4,4,0.9617,0.9155,0.9605
13,4,4,0.9622,0.9163,0.9614
14,4,4,0.9631,0.9163,0.962
15,4,4,0.9627,0.9161,0.9627
16,4,4,0.9641,0.9161,0.9627
17,4,4,0.9649,0.917,0.9625
18,4,4,0.9658,0.918,0.9634
19,4,4,0.9661,0.9171,0.9638
20,4,4,0.9659,0.9182,0.9637
1,5,0,0.6075,0.7429,0.6223
2,5,0,0.5962,0.7296,0.603
3,5,0,0.5862,0.7256,0.5945
4,5,0,0.5744,0.7239,0.5841
5,5,0,0.5631,0.7151,0.5778
6,5,0,0.5561,0.7167,0.5698
7,5,0,0.5502,0.7134,0.5668
8,5,0,0.5453,0.7159,0.5608
9,5,0,0.5438,0.713,0.5583
10,5,0,0.5362,0.7107,0.5485
11,5,0,0.5324,0.7116,0.5445
12,5,0,0.5255,0.7111,0.5431
13,5,0,0.5264,0.7106,0.5371
14,5,0,0.5229,0.7086,0.5391
15,5,0,0.5188,0.7093,0.5361
16,5,0,0.515,0.7088,0.5276
17,5,0,0.5062,0.7076,0.524
18,5,0,0.5114,0.7075,0.5222
19,5,0,0.5021,0.7071,0.5185
20,5,0,0.5087,0.7066,0.5188
1,5,1,0.781,0.8366,0.7939
2,5,1,0.7695,0.8291,0.7735
3,5,1,0.7603,0.8272,0.7659
4,5,1,0.7501,0.8252,0.7542
5,5,1,0.7382,0.8183,0.7498
6,5,1,0.7334,0.8207,0.7415
7,5,1,0.7247,0.8189,0.7376
8,5,1,0.7209,0.8216,0.7298
9,5,1,0.7158,0.819,0.729
10,5,1,0.7111,0.8177,0.718
11,5,1,0.7057,0.818,0.7133
12,5,1,0.6987,0.8194,0.7118
13,5,1,0.6976,0.8186,0.7047
14,5,1,0.6966,0.8163,0.7074
15,5,1,0.6897,0.8174,0.7038
16,5,1,0.6864,0.817,0.6968
17,5,1,0.6802,0.8134,0.6947
18,5,1,0.6834,0.8145,0.6936
19,5,1,0.6757,0.8135,0.6912
20,5,1,0.6809,0.8128,0.6888
1,5,2,0.8952,0.8941,0.8987
2,5,2,0.8867,0.888,0.8857
3,5,2,0.8827,0.8872,0.8829
4,5,2,0.8757,0.8852,0.8772
5,5,2,0.8713,0.8797,0.8749
6,5,2,0.8669,0.8821,0.8701
7,5,2,0.8632,0.8805,0.8674
8,5,2,0.8615,0.8827,0.8661
9,5,2,0.8603,0.8811,0.8637
10,5,2,0.858,0.8789,0.8575
11,5,2,0.8543,0.8808,0.8556
12,5,2,0.8521,0.8807,0.8552
13,5,2,0.8513,0.881,0.8502
14,5,2,0.8481,0.8799,0.8515
15,5,2,0.8455,0.8808,0.8496
16,5,2,0.8432,0.8801,0.8445
17,5,2,0.8387,0.8777,0.8416
18,5,2,0.8429,0.879,0.8414
19,5,2,0.838,0.8783,0.8388
20,5,2,0.8402,0.8763,0.8393
1,5,3,0.9507,0.9201,0.9493
2,5,3,0.9455,0.9189,0.9452
3,5,3,0.9437,0.9179,0.9437
4,5,3,0.9407,0.9168,0.9423
5,5,3,0.9399,0.9145,0.9405
6,5,3,0.9368,0.9162,0.9384
7,5,3,0.9358,0.9152,0.9382
8,5,3,0.9354,0.9162,0.9361
9,5,3,0.9362,0.9159,0.9354
10,5,3,0.9348,0.9154,0.9326
11,5,3,0.9324,0.9157,0.9322
12,5,3,0.9325,0.9166,0.9316
13,5,3,0.9316,0.9162,0.9313
14,5,3,0.9312,0.9157,0.931
15,5,3,0.931,0.9172,0.9289
16,5,3,0.9297,0.9164,0.9287
17,5,3,0.9278,0.9152,0.9281
18,5,3,0.9298,0.915,0.9277
19,5,3,0.928,0.9158,0.9271
20,5,3,0.9306,0.9151,0.9278
1,5,4,0.9643,0.9247,0.9628
2,5,4,0.9645,0.9255,0.962
3,5,4,0.9641,0.9259,0.9623
4,5,4,0.9637,0.927,0.9629
5,5,4,0.9639,0.926,0.9619
6,5,4,0.9624,0.9263,0.9627
7,5,4,0.9629,0.9267,0.9626
8,5,4,0.9626,0.9272,0.9627
9,5,4,0.964,0.9273,0.9631
10,5,4,0.9637,0.9273,0.963
11,5,4,0.9639,0.9268,0.9632
12,5,4,0.9631,0.9278,0.9629
13,5,4,0.9635,0.9276,0.963
14,5,4,0.9646,0.9278,0.9631
15,5,4,0.9652,0.9276,0.963
16,5,4,0.965,0.9281,0.964
17,5,4,0.965,0.9272,0.9635
18,5,4,0.9658,0.927,0.9629
19,5,4,0.9655,0.9279,0.9642
20,5,4,0.9654,0.9273,0.964
1,5,5,0.9497,0.8957,0.948
2,5,5,0.9515,0.9009,0.951
3,5,5,0.9533,0.9034,0.9535
4,5,5,0.9561,0.9067,0.9543
5,5,5,0.9573,0.9063,0.9557
6,5,5,0.9583,0.9074,0.9569
7,5,5,0.9594,0.9085,0.9575
