Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
10,7,5,0.9397,0.9082,0.9379
11,7,5,0.9392,0.9096,0.9366
12,7,5,0.9382,0.9066,0.9384
13,7,5,0.9378,0.9098,0.937
14,7,5,0.9372,0.9077,0.9373
15,7,5,0.9363,0.9088,0.9364
16,7,5,0.9361,0.9075,0.9352
17,7,5,0.9351,0.9093,0.9339
18,7,5,0.9357,0.9054,0.9331
19,7,5,0.9354,0.9093,0.933
20,7,5,0.933,0.9081,0.9334
1,7,6,0.9682,0.9148,0.9676
2,7,6,0.9672,0.9155,0.9666
3,7,6,0.9676,0.9161,0.9663
4,7,6,0.9676,0.9166,0.9664
5,7,6,0.9673,0.9174,0.9672
6,7,6,0.9674,0.9167,0.9659
7,7,6,0.9674,0.9172,0.9654
8,7,6,0.9671,0.9174,0.9659
9,7,6,0.9673,0.9166,0.9657
10,7,6,0.9669,0.9177,0.9662
11,7,6,0.9672,0.9179,0.9659
12,7,6,0.9672,0.9167,0.9666
13,7,6,0.9673,0.9181,0.9669
14,7,6,0.9676,0.9174,0.967
15,7,6,0.9677,0.9177,0.9672
16,7,6,0.968,0.9169,0.9673
17,7,6,0.9679,0.918,0.9669
18,7,6,0.9686,0.9162,0.9672
19,7,6,0.9683,0.9182,0.9673
20,7,6,0.969,0.918,0.9679
1,7,7,0.953,0.8823,0.9519
2,7,7,0.9569,0.8868,0.9545
3,7,7,0.9594,0.8907,0.9573
4,7,7,0.9618,0.8907,0.9584
5,7,7,0.963,0.8914,0.9594
6,7,7,0.9643,0.8928,0.9607
7,7,7,0.9651,0.8926,0.9615
8,7,7,0.9657,0.8937,0.9628
9,7,7,0.9662,0.8939,0.9635
10,7,7,0.9672,0.8937,0.9642
11,7,7,0.9679,0.8948,0.9647
12,7,7,0.9679,0.895,0.9656
13,7,7,0.9685,0.8944,0.9661
14,7,7,0.9699,0.896,0.9664
15,7,7,0.9699,0.8963,0.9665
16,7,7,0.9706,0.8946,0.967
17,7,7,0.9709,0.8955,0.9671
18,7,7,0.9705,0.8951,0.9678
19,7,7,0.9707,0.8959,0.9676
20,7,7,0.9714,0.8959,0.9688
1,8,0,0.3088,0.4654,0.3228
2,8,0,0.3049,0.4577,0.3197
3,8,0,0.3032,0.4555,0.3172
4,8,0,0.2955,0.4549,0.3135
5,8,0,0.2929,0.4514,0.3111
6,8,0,0.2916,0.45,0.3081
7,8,0,0.2883,0.4505,0.3068
8,8,0,0.2893,0.4482,0.3013
9,8,0,0.2816,0.4451,0.3028
10,8,0,0.2798,0.4504,0.3009
11,8,0,0.2756,0.4426,0.2968
12,8,0,0.2741,0.4449,0.294
13,8,0,0.2719,0.4494,0.291
14,8,0,0.2719,0.4436,0.2925
15,8,0,0.2688,0.4466,0.2892
16,8,0,0.2648,0.4395,0.2861
17,8,0,0.266,0.4402,0.2839
18,8,0,0.264,0.4424,0.2854
19,8,0,0.2614,0.4428,0.2824
20,8,0,0.2619,0.4456,0.2807
1,8,1,0.4121,0.5577,0.4083
2,8,1,0.4098,0.5531,0.4047
3,8,1,0.403,0.5493,0.3994
4,8,1,0.3955,0.548,0.3954
5,8,1,0.3895,0.5462,0.3906
6,8,1,0.3837,0.5443,0.3843
7,8,1,0.3813,0.5439,0.384
8,8,1,0.3794,0.5414,0.3752
9,8,1,0.3733,0.5424,0.3777
10,8,1,0.3734,0.5437,0.3749
11,8,1,0.3695,0.54,0.369
12,8,1,0.3654,0.5414,0.3663
13,8,1,0.3637,0.5447,0.3624
14,8,1,0.3631,0.538,0.364
15,8,1,0.3584,0.5431,0.3621
16,8,1,0.3542,0.5348,0.3585
17,8,1,0.3536,0.5348,0.3565
18,8,1,0.352,0.5372,0.359
19,8,1,0.3482,0.5374,0.3525
20,8,1,0.3497,0.5399,0.352
1,8,2,0.5256,0.6637,0.5222
2,8,2,0.522,0.6571,0.5134
3,8,2,0.5118,0.6492,0.5072
4,8,2,0.5025,0.6495,0.5014
5,8,2,0.495,0.6449,0.4953
6,8,2,0.4922,0.6473,0.4872
7,8,2,0.4868,0.6423,0.4848
8,8,2,0.4847,0.6421,0.4718
9,8,2,0.4782,0.6422,0.4756
10,8,2,0.4796,0.6419,0.4709
11,8,2,0.4742,0.6407,0.4629
12,8,2,0.4704,0.6405,0.4593
13,8,2,0.4682,0.6439,0.4531
14,8,2,0.4631,0.6401,0.4548
15,8,2,0.459,0.6418,0.4526
16,8,2,0.455,0.6344,0.4491
17,8,2,0.4523,0.6372,0.446
18,8,2,0.4507,0.6357,0.4474
19,8,2,0.4476,0.6369,0.4414
20,8,2,0.4482,0.6396,0.4399
1,8,3,0.6633,0.7641,0.6628
2,8,3,0.6538,0.7601,0.6443
3,8,3,0.6453,0.7524,0.6338
4,8,3,0.6336,0.7529,0.6264
5,8,3,0.6229,0.7503,0.6217
6,8,3,0.616,0.7488,0.6111
7,8,3,0.6106,0.7468,0.6077
8,8,3,0.6093,0.7466,0.5959
9,8,3,0.5997,0.7478,0.5984
10,8,3,0.6012,0.7463,0.594
11,8,3,0.5933,0.7447,0.5865
12,8,3,0.5897,0.7459,0.5814
13,8,3,0.5866,0.7469,0.5741
14,8,3,0.5836,0.7453,0.5774
15,8,3,0.5787,0.7461,0.5737
16,8,3,0.5741,0.7391,0.5704
17,8,3,0.5702,0.7415,0.564
18,8,3,0.5677,0.7392,0.5684
19,8,3,0.5647,0.7409,0.5579
20,8,3,0.5661,0.7423,0.5547
1,8,4,0.8075,0.8369,0.8124
2,8,4,0.8004,0.8351,0.7957
3,8,4,0.7882,0.8319,0.7865
4,8,4,0.7783,0.8306,0.7748
5,8,4,0.7682,0.8292,0.7691
6,8,4,0.7619,0.8288,0.7574
7,8,4,0.7548,0.8257,0.7552
8,8,4,0.7534,0.8249,0.7415
9,8,4,0.7437,0.8275,0.7439
10,8,4,0.7434,0.8261,0.7386
11,8,4,0.7387,0.8266,0.7302
12,8,4,0.7359,0.8253,0.7256
13,8,4,0.7322,0.8254,0.7193
14,8,4,0.728,0.8261,0.7221
15,8,4,0.726,0.8255,0.7195
16,8,4,0.7221,0.8218,0.7155
17,8,4,0.7174,0.8249,0.7119
18,8,4,0.7166,0.8206,0.7134
19,8,4,0.7125,0.8228,0.7058
20,8,4,0.7138,0.8231,0.7031
1,8,5,0.9092,0.8819,0.9083
2,8,5,0.9053,0.8828,0.8982
3,8,5,0.8979,0.879,0.8938
4,8,5,0.8926,0.8797,0.8876
5,8,5,0.8858,0.8786,0.8845
6,8,5,0.8838,0.8792,0.8789
7,8,5,0.8781,0.8762,0.8768
8,8,5,0.876,0.8779,0.868
9,8,5,0.8728,0.8795,0.8701
10,8,5,0.8715,0.8769,0.8685
11,8,5,0.868,0.8784,0.8607
12,8,5,0.8686,0.8768,0.8604
13,8,5,0.8642,0.8774,0.8549
14,8,5,0.8617,0.8778,0.8559
15,8,5,0.8616,0.8768,0.8549
16,8,5,0.8599,0.8751,0.8531
17,8,5,0.8558,0.8763,0.8505
18,8,5,0.8552,0.8728,0.8517
19,8,5,0.8549,0.8746,0.8472
20,8,5,0.8543,0.8756,0.8451
1,8,6,0.9601,0.9081,0.9571
2,8,6,0.9563,0.9085,0.952
3,8,6,0.9528,0.9072,0.9501
4,8,6,0.9522,0.9074,0.947
5,8,6,0.9498,0.9065,0.9465
6,8,6,0.9488,0.9066,0.9442
7,8,6,0.9469,0.906,0.9459
8,8,6,0.9463,0.9048,0.9414
9,8,6,0.9446,0.9067,0.9425
10,8,6,0.9437,0.9056,0.9411
11,8,6,0.9427,0.9063,0.9384
12,8,6,0.9419,0.9056,0.9386
13,8,6,0.9407,0.9064,0.9374
14,8,6,0.9401,0.9064,0.9367
15,8,6,0.9392,0.9065,0.9364
16,8,6,0.9381,0.904,0.936
17,8,6,0.9366,0.9057,0.9344
18,8,6,0.9357,0.9042,0.9352
19,8,6,0.9362,0.9049,0.9327
20,8,6,0.9349,0.9049,0.9323
1,8,7,0.9696,0.909,0.9671
2,8,7,0.9691,0.9114,0.9678
3,8,7,0.9689,0.9106,0.9671
4,8,7,0.9695,0.912,0.9664
5,8,7,0.9679,0.9123,0.9668
6,8,7,0.9681,0.9129,0.9664
7,8,7,0.9675,0.9122,0.967
8,8,7,0.9683,0.9119,0.9672
9,8,7,0.9681,0.9133,0.9673
10,8,7,0.9692,0.9129,0.9664
11,8,7,0.9687,0.9137,0.9669
12,8,7,0.9691,0.9128,0.9666
13,8,7,0.9688,0.9137,0.9664
14,8,7,0.9688,0.9139,0.9659
15,8,7,0.9698,0.9134,0.9671
16,8,7,0.9692,0.9129,0.9678
17,8,7,0.9695,0.9131,0.9676
18,8,7,0.9696,0.9127,0.9679
19,8,7,0.9694,0.9133,0.9683
20,8,7,0.9698,0.9132,0.9672
1,8,8,0.9537,0.8673,0.9542
2,8,8,0.9563,0.8741,0.9566
3,8,8,0.9583,0.878,0.9581
4,8,8,0.9608,0.8784,0.9594
5,8,8,0.9626,0.8811,0.961
6,8,8,0.9632,0.8813,0.9618
7,8,8,0.9649,0.881,0.963
8,8,8,0.9658,0.8825,0.9643
9,8,8,0.9666,0.8822,0.9655
10,8,8,0.9672,0.883,0.9662
11,8,8,0.9682,0.883,0.9655
12,8,8,0.9686,0.883,0.967
13,8,8,0.9689,0.8836,0.9674
14,8,8,0.9692,0.8844,0.9678
15,8,8,0.9699,0.8846,0.9676
16,8,8,0.9699,0.8844,0.9685
17,8,8,0.9705,0.8854,0.9684
18,8,8,0.9706,0.8845,0.9691
19,8,8,0.9716,0.8841,0.9699
20,8,8,0.9716,0.8847,0.97
1,9,0,0.2517,0.4033,0.2779
2,9,0,0.2454,0.4,0.2753
3,9,0,0.2441,0.3976,0.2679
4,9,0,0.2381,0.3927,0.2679
5,9,0,0.2356,0.3895,0.2668
6,9,0,0.2342,0.395,0.2629
7,9,0,0.233,0.3939,0.2614
8,9,0,0.2293,0.3917,0.2586
9,9,0,0.2277,0.3886,0.2557
10,9,0,0.2234,0.3912,0.2575
11,9,0,0.2223,0.3892,0.2548
12,9,0,0.2203,0.3892,0.2526
13,9,0,0.2205,0.3911,0.2534
14,9,0,0.2199,0.3908,0.2508
15,9,0,0.2151,0.3848,0.248
16,9,0,0.2175,0.3867,0.2471
17,9,0,0.2136,0.3907,0.2449
18,9,0,0.2118,0.389,0.2446
19,9,0,0.2118,0.3886,0.2413
20,9,0,0.2111,0.3863,0.2415
1,9,1,0.335,0.4854,0.3512
2,9,1,0.3301,0.4803,0.3469
3,9,1,0.3275,0.4763,0.3387
4,9,1,0.3191,0.4713,0.339
5,9,1,0.3164,0.471,0.334
6,9,1,0.3126,0.4708,0.3268
7,9,1,0.3093,0.473,0.3212
8,9,1,0.3073,0.4701,0.3212
9,9,1,0.3048,0.465,0.3146
10,9,1,0.3006,0.4693,0.3183
11,9,1,0.2992,0.4658,0.3149
12,9,1,0.2979,0.468,0.3093
13,9,1,0.297,0.4699,0.3121
14,9,1,0.2988,0.4646,0.3086
15,9,1,0.2891,0.4629,0.3054
16,9,1,0.2932,0.463,0.3061
17,9,1,0.2878,0.4678,0.3006
18,9,1,0.286,0.4658,0.3029
19,9,1,0.2873,0.4676,0.2986
20,9,1,0.2836,0.4627,0.2998
1,9,2,0.4344,0.5731,0.4347
2,9,2,0.4284,0.5678,0.428
3,9,2,0.4189,0.5628,0.4156
4,9,2,0.4127,0.5592,0.4163
5,9,2,0.4097,0.5596,0.4091
6,9,2,0.4029,0.5581,0.4056
7,9,2,0.399,0.557,0.3957
8,9,2,0.3927,0.557,0.3962
9,9,2,0.3904,0.5541,0.3892
10,9,2,0.3841,0.5561,0.3907
11,9,2,0.3839,0.5531,0.3861
12,9,2,0.3826,0.5531,0.3792
13,9,2,0.3815,0.5541,0.3824
14,9,2,0.3819,0.5497,0.3766
15,9,2,0.3718,0.5518,0.3743
16,9,2,0.3778,0.551,0.3763
17,9,2,0.3681,0.5519,0.371
18,9,2,0.3661,0.5552,0.3718
19,9,2,0.3682,0.5539,0.3665
20,9,2,0.3636,0.5512,0.3667
1,9,3,0.5376,0.6739,0.5415
2,9,3,0.5314,0.6656,0.5298
3,9,3,0.523,0.6611,0.5157
4,9,3,0.5175,0.6588,0.5138
5,9,3,0.5111,0.6584,0.5043
6,9,3,0.5041,0.6556,0.4995
7,9,3,0.4968,0.6572,0.4895
8,9,3,0.4922,0.6545,0.4871
9,9,3,0.4903,0.6512,0.4801
10,9,3,0.4839,0.6551,0.4798
11,9,3,0.4836,0.651,0.4763
12,9,3,0.4779,0.6517,0.469
13,9,3,0.4768,0.6533,0.4727
14,9,3,0.4762,0.6464,0.4664
15,9,3,0.4672,0.6478,0.4611
16,9,3,0.4721,0.6469,0.4644
17,9,3,0.4637,0.6503,0.4563
18,9,3,0.4597,0.6503,0.4596
19,9,3,0.462,0.6503,0.4534
20,9,3,0.4571,0.6484,0.4524
1,9,4,0.6727,0.7727,0.671
2,9,4,0.6608,0.7661,0.6566
3,9,4,0.6504,0.7595,0.6424
4,9,4,0.6408,0.7611,0.6376
5,9,4,0.6328,0.7581,0.6277
6,9,4,0.6249,0.7571,0.6224
7,9,4,0.616,0.7565,0.6131
8,9,4,0.6117,0.7541,0.6103
9,9,4,0.6074,0.7536,0.6026
10,9,4,0.6029,0.7549,0.6023
11,9,4,0.6021,0.7522,0.5978
12,9,4,0.594,0.7531,0.5881
13,9,4,0.5924,0.7528,0.5918
14,9,4,0.5905,0.7485,0.5834
15,9,4,0.5837,0.75,0.5801
16,9,4,0.5886,0.7502,0.5818
17,9,4,0.578,0.7511,0.5734
18,9,4,0.576,0.753,0.5756
19,9,4,0.5758,0.7517,0.5689
20,9,4,0.5732,0.7528,0.569
1,9,5,0.8192,0.8383,0.8117
2,9,5,0.8073,0.835,0.7961
3,9,5,0.7943,0.8299,0.7851
4,9,5,0.7858,0.8322,0.7782
5,9,5,0.7779,0.8306,0.7675
6,9,5,0.7698,0.8296,0.7659
7,9,5,0.7619,0.8299,0.7551
8,9,5,0.7593,0.8271,0.7521
9,9,5,0.7561,0.8274,0.7447
10,9,5,0.753,0.8295,0.7433
11,9,5,0.7502,0.8267,0.7398
12,9,5,0.743,0.8264,0.7328
13,9,5,0.7407,0.8257,0.7356
14,9,5,0.7385,0.8222,0.7288
15,9,5,0.732,0.8244,0.7247
16,9,5,0.738,0.8257,0.7272
17,9,5,0.7248,0.8265,0.7197
18,9,5,0.7252,0.8275,0.7215
19,9,5,0.7237,0.8253,0.7155
20,9,5,0.722,0.8288,0.715
1,9,6,0.9143,0.88,0.9101
2,9,6,0.9061,0.8782,0.9007
3,9,6,0.8987,0.8755,0.8953
4,9,6,0.8942,0.8767,0.8942
5,9,6,0.8919,0.8755,0.8861
6,9,6,0.8851,0.8752,0.8836
7,9,6,0.8808,0.8751,0.8766
8,9,6,0.8785,0.874,0.8755
9,9,6,0.8754,0.874,0.8695
10,9,6,0.8767,0.8757,0.8691
11,9,6,0.8749,0.8734,0.8678
12,9,6,0.8686,0.8728,0.8632
13,9,6,0.8679,0.8725,0.8635
14,9,6,0.8667,0.8703,0.8611
15,9,6,0.8648,0.8709,0.8559
16,9,6,0.8662,0.8723,0.8595
17,9,6,0.8611,0.873,0.8547
18,9,6,0.8601,0.8738,0.855
19,9,6,0.8591,0.871,0.8516
20,9,6,0.8576,0.8749,0.8511
1,9,7,0.9588,0.9053,0.9571
2,9,7,0.9557,0.9044,0.9521
3,9,7,0.9531,0.9027,0.9505
4,9,7,0.9513,0.9032,0.9495
5,9,7,0.9509,0.9018,0.9473
6,9,7,0.9492,0.9027,0.9459
7,9,7,0.9483,0.9029,0.9434
8,9,7,0.9461,0.9021,0.9423
9,9,7,0.9459,0.9029,0.941
10,9,7,0.9451,0.903,0.9412
11,9,7,0.9445,0.9024,0.9409
12,9,7,0.9428,0.9009,0.9387
13,9,7,0.9424,0.902,0.9393
14,9,7,0.9413,0.9,0.9391
15,9,7,0.9409,0.9014,0.9379
16,9,7,0.9405,0.9017,0.939
17,9,7,0.9386,0.9018,0.9372
18,9,7,0.9395,0.9021,0.9364
19,9,7,0.9381,0.9015,0.9359
20,9,7,0.9382,0.903,0.9366
1,9,8,0.9686,0.8998,0.9691
2,9,8,0.9685,0.9023,0.9682
3,9,8,0.9676,0.9028,0.9677
4,9,8,0.9673,0.9032,0.968
5,9,8,0.9681,0.904,0.9681
6,9,8,0.9677,0.9043,0.968
7,9,8,0.9672,0.904,0.9683
8,9,8,0.9679,0.9045,0.9677
9,9,8,0.968,0.9037,0.9672
10,9,8,0.9681,0.9051,0.967
11,9,8,0.9684,0.9057,0.9679
12,9,8,0.9682,0.9043,0.9677
13,9,8,0.9679,0.9057,0.9676
14,9,8,0.9686,0.9044,0.9682
15,9,8,0.968,0.9046,0.9678
16,9,8,0.9688,0.9051,0.968
17,9,8,0.9688,0.9048,0.9686
18,9,8,0.9693,0.9057,0.9687
19,9,8,0.969,0.9052,0.9685
20,9,8,0.9683,0.9053,0.9684
1,9,9,0.9568,0.8575,0.9544
2,9,9,0.96,0.8631,0.9571
3,9,9,0.9614,0.8663,0.9592
4,9,9,0.962,0.8678,0.9598
5,9,9,0.964,0.8677,0.9615
6,9,9,0.9635,0.8688,0.9629
7,9,9,0.9647,0.8704,0.9635
8,9,9,0.9655,0.8697,0.9642
9,9,9,0.9661,0.8716,0.9651
10,9,9,0.9669,0.8708,0.9659
11,9,9,0.9672,0.8724,0.9661
12,9,9,0.9677,0.8707,0.9672
13,9,9,0.9679,0.8722,0.9672
14,9,9,0.969,0.8715,0.9681
15,9,9,0.9697,0.8712,0.9689
16,9,9,0.9702,0.873,0.9688
17,9,9,0.9704,0.8718,0.9694
18,9,9,0.9702,0.8731,0.97
19,9,9,0.9709,0.8723,0.9706
20,9,9,0.9711,0.8732,0.9703
